
          ---- Changes of mineral abundance (or/and exchanged species concentrations) vs. grid blocks at specified times ----

   Unit: 
               
    - Mineral: Changes of abundance in volume fraction      
 
VARIABLES =X,       Y,        Z,      T, Porosity,   Permeabi.,   exp(phi1),calcite    ,
ZONE T= "0.000000E+00 yr"  F=POINT
      3.000      0.000     0.000   4.000   0.30000  0.30000E-11  0.2745E-01  0.0000E+00
      6.000      0.000     0.000   4.000   0.30000  0.30000E-11  0.2745E-01  0.0000E+00
     10.000      0.000     0.000   4.000   0.30000  0.30000E-11  0.2745E-01  0.0000E+00
     14.000      0.000     0.000   4.000   0.30000  0.30000E-11  0.2745E-01  0.0000E+00
     18.000      0.000     0.000   4.000   0.30000  0.30000E-11  0.2745E-01  0.0000E+00
     22.000      0.000     0.000   4.000   0.30000  0.30000E-11  0.2745E-01  0.0000E+00
     26.000      0.000     0.000   4.000   0.30000  0.30000E-11  0.2745E-01  0.0000E+00
     30.000      0.000     0.000   4.000   0.30000  0.30000E-11  0.2745E-01  0.0000E+00
     34.000      0.000     0.000   4.000   0.30000  0.30000E-11  0.2745E-01  0.0000E+00
     38.000      0.000     0.000   4.000   0.30000  0.30000E-11  0.2745E-01  0.0000E+00
     42.000      0.000     0.000   4.000   0.30000  0.30000E-11  0.2745E-01  0.0000E+00
     46.000      0.000     0.000   4.000   0.30000  0.30000E-11  0.2745E-01  0.0000E+00
     50.000      0.000     0.000   4.000   0.30000  0.30000E-11  0.2745E-01  0.0000E+00
     54.000      0.000     0.000   4.000   0.30000  0.30000E-11  0.2745E-01  0.0000E+00
     58.000      0.000     0.000   4.000   0.30000  0.30000E-11  0.2745E-01  0.0000E+00
     62.000      0.000     0.000   4.000   0.30000  0.30000E-11  0.2745E-01  0.0000E+00
     66.000      0.000     0.000   4.000   0.30000  0.30000E-11  0.2745E-01  0.0000E+00
ZONE T= "0.100000E+06 yr"  F=POINT
      3.000      0.000     0.000   4.000   0.30003  0.30000E-11  0.3113E-01 -0.3156E-04
      6.000      0.000     0.000   4.000   0.30002  0.30000E-11  0.2927E-01 -0.2391E-04
     10.000      0.000     0.000   4.000   0.30002  0.30000E-11  0.2904E-01 -0.2315E-04
     14.000      0.000     0.000   4.000   0.30002  0.30000E-11  0.2902E-01 -0.2309E-04
     18.000      0.000     0.000   4.000   0.30002  0.30000E-11  0.2902E-01 -0.2309E-04
     22.000      0.000     0.000   4.000   0.30002  0.30000E-11  0.2902E-01 -0.2309E-04
     26.000      0.000     0.000   4.000   0.30002  0.30000E-11  0.2902E-01 -0.2309E-04
     30.000      0.000     0.000   4.000   0.30002  0.30000E-11  0.2902E-01 -0.2309E-04
     34.000      0.000     0.000   4.000   0.30002  0.30000E-11  0.2902E-01 -0.2309E-04
     38.000      0.000     0.000   4.000   0.30002  0.30000E-11  0.2902E-01 -0.2309E-04
     42.000      0.000     0.000   4.000   0.30002  0.30000E-11  0.2902E-01 -0.2309E-04
     46.000      0.000     0.000   4.000   0.30002  0.30000E-11  0.2902E-01 -0.2309E-04
     50.000      0.000     0.000   4.000   0.30002  0.30000E-11  0.2902E-01 -0.2309E-04
     54.000      0.000     0.000   4.000   0.30002  0.30000E-11  0.2902E-01 -0.2309E-04
     58.000      0.000     0.000   4.000   0.30002  0.30000E-11  0.2902E-01 -0.2309E-04
     62.000      0.000     0.000   4.000   0.30002  0.30000E-11  0.2902E-01 -0.2309E-04
     66.000      0.000     0.000   4.000   0.30002  0.30000E-11  0.2902E-01 -0.2309E-04
ZONE T= "0.100000E+07 yr"  F=POINT
      3.000      0.000     0.000   4.000   0.30009  0.30000E-11  0.4771E-01 -0.8627E-04
      6.000      0.000     0.000   4.000   0.30005  0.30000E-11  0.3624E-01 -0.4565E-04
     10.000      0.000     0.000   4.000   0.30003  0.30000E-11  0.3186E-01 -0.3105E-04
     14.000      0.000     0.000   4.000   0.30002  0.30000E-11  0.2976E-01 -0.2498E-04
     18.000      0.000     0.000   4.000   0.30002  0.30000E-11  0.2920E-01 -0.2350E-04
     22.000      0.000     0.000   4.000   0.30002  0.30000E-11  0.2906E-01 -0.2317E-04
     26.000      0.000     0.000   4.000   0.30002  0.30000E-11  0.2903E-01 -0.2311E-04
     30.000      0.000     0.000   4.000   0.30002  0.30000E-11  0.2903E-01 -0.2309E-04
     34.000      0.000     0.000   4.000   0.30002  0.30000E-11  0.2902E-01 -0.2309E-04
     38.000      0.000     0.000   4.000   0.30002  0.30000E-11  0.2902E-01 -0.2309E-04
     42.000      0.000     0.000   4.000   0.30002  0.30000E-11  0.2902E-01 -0.2309E-04
     46.000      0.000     0.000   4.000   0.30002  0.30000E-11  0.2902E-01 -0.2309E-04
     50.000      0.000     0.000   4.000   0.30002  0.30000E-11  0.2902E-01 -0.2309E-04
     54.000      0.000     0.000   4.000   0.30002  0.30000E-11  0.2902E-01 -0.2309E-04
     58.000      0.000     0.000   4.000   0.30002  0.30000E-11  0.2902E-01 -0.2309E-04
     62.000      0.000     0.000   4.000   0.30002  0.30000E-11  0.2902E-01 -0.2309E-04
     66.000      0.000     0.000   4.000   0.30002  0.30000E-11  0.2902E-01 -0.2309E-04
ZONE T= "0.100000E+08 yr"  F=POINT
      3.000      0.000     0.000   4.000   0.30029  0.30000E-11  0.1823E+00 -0.2850E-03
      6.000      0.000     0.000   4.000   0.30021  0.30000E-11  0.1561E+00 -0.2112E-03
     10.000      0.000     0.000   4.000   0.30017  0.30000E-11  0.1329E+00 -0.1720E-03
     14.000      0.000     0.000   4.000   0.30013  0.30000E-11  0.9565E-01 -0.1313E-03
     18.000      0.000     0.000   4.000   0.30010  0.30000E-11  0.7164E-01 -0.9872E-04
     22.000      0.000     0.000   4.000   0.30007  0.30000E-11  0.5662E-01 -0.7474E-04
     26.000      0.000     0.000   4.000   0.30006  0.30000E-11  0.4707E-01 -0.5768E-04
     30.000      0.000     0.000   4.000   0.30005  0.30000E-11  0.4084E-01 -0.4577E-04
     34.000      0.000     0.000   4.000   0.30004  0.30000E-11  0.3672E-01 -0.3760E-04
     38.000      0.000     0.000   4.000   0.30003  0.30000E-11  0.3395E-01 -0.3207E-04
     42.000      0.000     0.000   4.000   0.30003  0.30000E-11  0.3200E-01 -0.2826E-04
     46.000      0.000     0.000   4.000   0.30003  0.30000E-11  0.3071E-01 -0.2583E-04
     50.000      0.000     0.000   4.000   0.30002  0.30000E-11  0.2991E-01 -0.2441E-04
     54.000      0.000     0.000   4.000   0.30002  0.30000E-11  0.2945E-01 -0.2366E-04
     58.000      0.000     0.000   4.000   0.30002  0.30000E-11  0.2920E-01 -0.2330E-04
     62.000      0.000     0.000   4.000   0.30002  0.30000E-11  0.2909E-01 -0.2316E-04
     66.000      0.000     0.000   4.000   0.30002  0.30000E-11  0.2905E-01 -0.2311E-04
ZONE T= "0.100000E+09 yr"  F=POINT
      3.000      0.000     0.000   4.000   0.30068  0.30000E-11  0.1993E+00 -0.6783E-03
      6.000      0.000     0.000   4.000   0.30034  0.30000E-11  0.2172E+00 -0.3435E-03
     10.000      0.000     0.000   4.000   0.30028  0.30000E-11  0.2358E+00 -0.2835E-03
     14.000      0.000     0.000   4.000   0.30028  0.30000E-11  0.2733E+00 -0.2808E-03
     18.000      0.000     0.000   4.000   0.30029  0.30000E-11  0.3200E+00 -0.2853E-03
     22.000      0.000     0.000   4.000   0.30029  0.30000E-11  0.3852E+00 -0.2913E-03
     26.000      0.000     0.000   4.000   0.30030  0.30000E-11  0.4985E+00 -0.2997E-03
     30.000      0.000     0.000   4.000   0.30031  0.30000E-11  0.7429E+00 -0.3112E-03
     34.000      0.000     0.000   4.000   0.30032  0.30000E-11  0.1272E+01 -0.3231E-03
     38.000      0.000     0.000   4.000   0.30033  0.30000E-11  0.1868E+01 -0.3279E-03
     42.000      0.000     0.000   4.000   0.30033  0.30000E-11  0.1984E+01 -0.3257E-03
     46.000      0.000     0.000   4.000   0.30032  0.30000E-11  0.1656E+01 -0.3188E-03
