section,N,state_qubits,eval_qubits,estimate_cross_moments,Z_EW_qae,Z_EW_raw_exact_for_validation,ESS_exact_from_weights,ESS_ratio_exact_from_weights,map_index,param,MAP_norm,MAP_real,mean_norm_qae,mean_real_qae,var_norm_qae,std_norm_qae,std_real_qae,mean_norm_exact,mean_real_exact,var_norm_exact,std_norm_exact,std_real_exact,CI65_low_norm,CI65_high_norm,CI65_low_real,CI65_high_real,CI95_low_norm,CI95_high_norm,CI95_low_real,CI95_high_real,quantity,qae_E_f,raw_mean_E_f_for_validation,histogram_target_E_f,abs_error_qae_vs_raw,abs_error_qae_vs_histogram,sample_index,E0_norm_pred_raw,E0_pred_raw,J_shift,weight,posterior_prob,cation_ecof_1_norm,cation_ecof_1_real,cation_ecof_2_norm,cation_ecof_2_real,cation_ecof_3_norm,cation_ecof_3_real,CEC_0_norm,CEC_0_real,bouncon_1_norm,bouncon_1_real,bouncon_5_norm,bouncon_5_real,row_param,col_param,correlation,covariance_norm
meta,1024.0,6.0,6.0,True,0.008802323531641749,0.00867802066674175,23.336040399893527,0.022789101953021022,542.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,,,,,,,,,,cation_ecof[1],0.6460917758021482,0.6168734206417186,0.6489210206826989,0.619136816546159,0.005816854424911089,0.07626830550701312,0.061014644405610496,0.6643688090010058,0.6314950472008046,0.0003188144642242749,0.017855376339474757,0.014284301071579806,0.6460909877841101,0.6764415044423472,0.6168727902272881,0.6411532035538777,0.6446172067101583,0.7127541830867364,0.6156937653681267,0.6702033464693892,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,,,,,,,,,,cation_ecof[2],0.7199156020332567,0.6759324816266054,0.7008364583186089,0.6606691666548871,0.01160538031152053,0.10772827071628195,0.08618261657302556,0.7187264139799237,0.6749811311839389,0.0001965633958875797,0.014020106842944519,0.011216085474355616,0.7067926554040964,0.7302272601908734,0.6654341243232771,0.6841818081526987,0.6858713668774494,0.735526841523304,0.6486970935019596,0.6884214732186432,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,,,,,,,,,,cation_ecof[3],0.46355256464662636,4.244867952526385e-06,0.48875222699890514,4.421265588992336e-06,0.0016529180931436072,0.04065609539962744,2.845926677973921e-07,0.49424381015729085,4.459706671101036e-06,0.0006437684642352668,0.025372592777153598,1.7760814944007517e-07,0.4680102849959779,0.5218825200079669,4.276071994971845e-06,4.653177640055768e-06,0.46070049898174553,0.550053451798621,4.224903492872219e-06,4.850374162590347e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,,,,,,,,,,CEC[0],0.3076730099036304,2.538365049518152,0.26371054444695397,2.3185527222347697,0.015995542515479147,0.12647348542472903,0.6323674271236451,0.2932636519124647,2.4663182595623234,0.0005370437312195651,0.023174204004011986,0.11587102002005993,0.2705902975571189,0.3097201308268445,2.352951487785594,2.5486006541342228,0.24103614089772632,0.32556912815817235,2.2051807044886313,2.627845640790862,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,,,,,,,,,,bouncon[1],0.22100167323261924,0.0015072053543443817,0.2289962954677516,0.0015327881454968053,0.0020680072797243793,0.04547534804401589,0.00014552111374085085,0.23232566875771485,0.0015434421400246875,0.00012179655507235585,0.011036147655425595,3.5315672497361905e-05,0.22320218608880435,0.24337522266018363,0.001514246995484174,0.0015788007125125876,0.22090137998487958,0.25465467376266365,0.0015068844159516147,0.0016148949560405236,,,,,,,,,,,,,,,,,,,,,,,,,,,,
summary,,,,,,,,,,bouncon[5],0.31046463745414293,0.0028627878247248577,0.31138668930561725,0.0028683201358337034,0.0,0.0,0.0,0.3191834863035871,0.0029151009178215227,0.0004322019738772834,0.0207894678594062,0.00012473680715643722,0.30548326027457806,0.3422430317383201,0.0028328995616474684,0.0030534581904299207,0.26354084547723733,0.34606153629838227,0.002581245072863424,0.003076369217790294,,,,,,,,,,,,,,,,,,,,,,,,,,,,
terms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Z_EW,0.008802323531641749,0.00867802066674175,0.00867802066674175,0.0001243028648999986,0.0001243028648999986,,,,,,,,,,,,,,,,,,,,,,
terms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1_E_xW__cation_ecof[1],0.005712012770532302,0.005765406254849337,0.005765406254849338,5.339348431703493e-05,5.33934843170358e-05,,,,,,,,,,,,,,,,,,,,,,
terms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M2_E_x2W__cation_ecof[1],0.0037578469917909614,0.0038331227654506026,0.0038331227654506026,7.527577365964121e-05,7.527577365964121e-05,,,,,,,,,,,,,,,,,,,,,,
terms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1_E_xW__cation_ecof[2],0.0061689892488903525,0.006237122674250969,0.0062371226742509705,6.813342536061626e-05,6.813342536061799e-05,,,,,,,,,,,,,,,,,,,,,,
terms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M2_E_x2W__cation_ecof[2],0.004425606888807639,0.004484490594429111,0.004484490594429111,5.888370562147187e-05,5.888370562147187e-05,,,,,,,,,,,,,,,,,,,,,,
terms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1_E_xW__cation_ecof[3],0.004302155228854772,0.00428905799895416,0.004289057998954159,1.3097229900612545e-05,1.3097229900613412e-05,,,,,,,,,,,,,,,,,,,,,,
terms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M2_E_x2W__cation_ecof[3],0.0021172374688249087,0.002125427003425942,0.002125427003425942,8.189534601033173e-06,8.189534601033173e-06,,,,,,,,,,,,,,,,,,,,,,
terms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1_E_xW__CEC[0],0.0023212655309274802,0.0025449480321005297,0.002544948032100529,0.00022368250117304946,0.0002236825011730486,,,,,,,,,,,,,,,,,,,,,,
terms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M2_E_x2W__CEC[0],0.0007529401372522117,0.0007510012304197096,0.0007510012304197094,1.938906832502042e-06,1.9389068325022588e-06,,,,,,,,,,,,,,,,,,,,,,
terms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1_E_xW__bouncon[1],0.0020156994802545767,0.0020161269548940467,0.002016126954894046,4.2747463946998104e-07,4.274746394691137e-07,,,,,,,,,,,,,,,,,,,,,,
terms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M2_E_x2W__bouncon[1],0.00047979098289649473,0.00046945499611827007,0.00046945499611826996,1.0335986778224658e-05,1.0335986778224767e-05,,,,,,,,,,,,,,,,,,,,,,
terms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1_E_xW__bouncon[5],0.0027409263827148527,0.0027698808906252113,0.0027698808906252113,2.895450791035861e-05,2.895450791035861e-05,,,,,,,,,,,,,,,,,,,,,,
terms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M2_E_x2W__bouncon[5],0.0008429112367387861,0.0008878508969769534,0.0008878508969769534,4.493966023816722e-05,4.493966023816722e-05,,,,,,,,,,,,,,,,,,,,,,
terms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mjk_E_xxW__cation_ecof[1]__cation_ecof[1],0.0038371857232455467,0.0038331227654506026,0.0038331227654506026,4.06295779494404e-06,4.06295779494404e-06,,,,,,,,,,,,,,,,,,,,,,
terms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mjk_E_xxW__cation_ecof[1]__cation_ecof[2],0.004198679675004313,0.004144106945581637,0.004144106945581636,5.4572729422676033e-05,5.45727294226769e-05,,,,,,,,,,,,,,,,,,,,,,
terms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mjk_E_xxW__cation_ecof[1]__cation_ecof[3],0.002966450625889491,0.002850410704224875,0.002850410704224874,0.00011603992166461623,0.0001160399216646171,,,,,,,,,,,,,,,,,,,,,,
terms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mjk_E_xxW__cation_ecof[1]__CEC[0],0.0017024337820693849,0.001690178226612887,0.001690178226612887,1.2255555456497933e-05,1.2255555456497933e-05,,,,,,,,,,,,,,,,,,,,,,
terms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mjk_E_xxW__cation_ecof[1]__bouncon[1],0.0013459652311712503,0.0013400273959759564,0.0013400273959759564,5.937835195293914e-06,5.937835195293914e-06,,,,,,,,,,,,,,,,,,,,,,
terms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mjk_E_xxW__cation_ecof[1]__bouncon[5],0.001837887584584952,0.0018402764380936057,0.0018402764380936049,2.3888535086538133e-06,2.388853508652946e-06,,,,,,,,,,,,,,,,,,,,,,
terms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mjk_E_xxW__cation_ecof[2]__cation_ecof[2],0.004491321677171629,0.004484490594429111,0.004484490594429111,6.8310827425182435e-06,6.8310827425182435e-06,,,,,,,,,,,,,,,,,,,,,,
terms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mjk_E_xxW__cation_ecof[2]__cation_ecof[3],0.0030957591204669056,0.003081668650965894,0.0030816686509658932,1.4090469501011442e-05,1.409046950101231e-05,,,,,,,,,,,,,,,,,,,,,,
terms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mjk_E_xxW__cation_ecof[2]__CEC[0],0.0017946061454158278,0.0018289517502485945,0.001828951750248595,3.434560483276663e-05,3.4345604832767065e-05,,,,,,,,,,,,,,,,,,,,,,
terms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mjk_E_xxW__cation_ecof[2]__bouncon[1],0.0014121131967067715,0.0014493204193128631,0.001449320419312863,3.7207222606091585e-05,3.720722260609137e-05,,,,,,,,,,,,,,,,,,,,,,
terms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mjk_E_xxW__cation_ecof[2]__bouncon[5],0.00200196757556051,0.0019907420490299027,0.0019907420490299027,1.1225526530607433e-05,1.1225526530607433e-05,,,,,,,,,,,,,,,,,,,,,,
terms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mjk_E_xxW__cation_ecof[3]__cation_ecof[3],0.0021253709764480597,0.002125427003425942,0.002125427003425942,5.6026977882182166e-08,5.6026977882182166e-08,,,,,,,,,,,,,,,,,,,,,,
terms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mjk_E_xxW__cation_ecof[3]__CEC[0],0.0012835640780821443,0.001256748611123715,0.0012567486111237148,2.68154669584293e-05,2.6815466958429518e-05,,,,,,,,,,,,,,,,,,,,,,
terms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mjk_E_xxW__cation_ecof[3]__bouncon[1],0.0010169570315477438,0.0009963692946744378,0.0009963692946744376,2.0587736873305942e-05,2.058773687330616e-05,,,,,,,,,,,,,,,,,,,,,,
terms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mjk_E_xxW__cation_ecof[3]__bouncon[5],0.0013792374828502537,0.0013693505293223135,0.0013693505293223133,9.886953527940166e-06,9.886953527940383e-06,,,,,,,,,,,,,,,,,,,,,,
terms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mjk_E_xxW__CEC[0]__CEC[0],0.0007045699985779821,0.0007510012304197096,0.0007510012304197094,4.6431231841727555e-05,4.643123184172734e-05,,,,,,,,,,,,,,,,,,,,,,
terms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mjk_E_xxW__CEC[0]__bouncon[1],0.0005840141817867756,0.0005918268410844904,0.0005918268410844903,7.812659297714783e-06,7.812659297714675e-06,,,,,,,,,,,,,,,,,,,,,,
terms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mjk_E_xxW__CEC[0]__bouncon[5],0.0008018148936698213,0.0008127508081572356,0.0008127508081572355,1.0935914487414291e-05,1.0935914487414183e-05,,,,,,,,,,,,,,,,,,,,,,
terms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mjk_E_xxW__bouncon[1]__bouncon[1],0.00045382290965175387,0.00046945499611827007,0.00046945499611826996,1.56320864665162e-05,1.5632086466516092e-05,,,,,,,,,,,,,,,,,,,,,,
terms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mjk_E_xxW__bouncon[1]__bouncon[5],0.000675281881563738,0.0006438143829370059,0.0006438143829370058,3.146749862673211e-05,3.146749862673222e-05,,,,,,,,,,,,,,,,,,,,,,
terms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mjk_E_xxW__bouncon[5]__bouncon[5],0.0008556673424113543,0.0008878508969769534,0.0008878508969769534,3.2183554565599036e-05,3.2183554565599036e-05,,,,,,,,,,,,,,,,,,,,,,
kde_samples,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0019820839248808203,43.840054090376555,10.218133549421118,3.6502363376858e-05,4.107715411629327e-06,0.6556089377116888,0.6244871501693511,0.7118773711945983,0.6695018969556786,0.5489669151467698,4.842768406027388e-06,0.3215362566886684,2.607681283443342,0.22898869602976588,0.0015327638272952509,0.2961412837560284,0.0027768477025361706,,,,
kde_samples,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,-0.0003204195932229245,38.44480279378598,4.822882252830546,0.008043570093804532,0.0009051659613850914,0.6433789757848911,0.6147031806279128,0.6838303369403705,0.6470642695522965,0.4909726083001417,4.436808258100992e-06,0.3311769251352418,2.655884625676209,0.25321836530607783,0.0016102987689794492,0.30488821709367303,0.002829329302562038,,,,
kde_samples,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0003880333503463243,40.10485743965826,6.482936898702825,0.0015293126411043887,0.00017209792802201778,0.7265754922839643,0.6812603938271715,0.7058336850782663,0.6646669480626131,0.4617878934140189,4.232515253898132e-06,0.3085939272718351,2.5429696363591754,0.2402460485554778,0.001568787355377529,0.3100114402310954,0.0028600686413865727,,,,
kde_samples,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0011770769843137616,41.9537530681589,8.331832527203467,0.00024073049524502674,2.709009154169112e-05,0.7035993311307015,0.6628794649045612,0.7362777386712493,0.6890221909369995,0.4829069233397635,4.380348463378345e-06,0.2418945722648232,2.209472861324116,0.27330352861484486,0.0016745712915675038,0.32808357217813106,0.0029685014330687863,,,,
kde_samples,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0004495317232642501,40.24896109622809,6.627040555272657,0.00132407582261275,0.00014900204149960263,0.7071927060381098,0.6657541648304879,0.6651082287745614,0.6320865830196492,0.5510964325263502,4.857675027684451e-06,0.2704430654714536,2.3522153273572677,0.22790849825329698,0.0015293071944105503,0.28330612854991727,0.0026998367712995036,,,,
kde_samples,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,0.001947243786084199,43.7584162980614,10.136495757105962,3.960735371358313e-05,4.457128859943528e-06,0.7264367294607837,0.681149383568627,0.7319289031761242,0.6855431225408994,0.5382919769655133,4.768043838758593e-06,0.2516705211693016,2.258352605846508,0.27246357917788866,0.001671883453369244,0.26107577090271333,0.00256645462541628,,,,
kde_samples,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,-0.00024357921245494324,38.624856010082645,5.002935469127209,0.006718196965677679,0.0007560179303834159,0.7126607080133586,0.6701285664106869,0.6891560795112758,0.6513248636090206,0.5205242923910829,4.64367004673758e-06,0.2967918762838387,2.4839593814191936,0.22232587843881552,0.0015114428110042097,0.30355251488283563,0.002821315089297014,,,,
kde_samples,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,0.010067052527168156,62.78484048979496,29.162919948839523,2.1612489238441012e-13,2.432115263657178e-14,0.6653159282225204,0.6322527425780163,0.7224749243526988,0.6779799394821591,0.4760023719646424,4.332016603752497e-06,0.26000620783888684,2.300031039194434,0.31436373617682495,0.00180596395576584,0.3090480425383393,0.002854288255230036,,,,
kde_samples,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,0.00428611501216538,49.23888480369272,15.616964262737284,1.6505876701376508e-07,1.8574535409858666e-08,0.730705511435174,0.6845644091481392,0.7302968391740198,0.6842374713392159,0.454164832001143,4.179153824008001e-06,0.3186812727249132,2.593406363624566,0.31326246552148423,0.0018024398896687496,0.30514896717951984,0.002830893803077119,,,,
kde_samples,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,0.008841475927210178,59.91305606557832,26.29113552462288,3.818606598578731e-12,4.29718728455699e-13,0.6587598640346655,0.6270078912277324,0.6468240396209107,0.6174592316967286,0.4752657489774213,4.326860242841949e-06,0.28848466574346954,2.442423328717348,0.30658561080171354,0.0017810739545654833,0.3034690107533789,0.0028208140645202733,,,,
kde_samples,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,0.0004773572031006243,40.314162063342835,6.692241522387398,0.0012404990478484129,0.00013959690785909448,0.6824712584541492,0.6459770067633194,0.6767308794831526,0.6413847035865221,0.4985841273301449,4.4900888913110145e-06,0.2786593943268938,2.393296971634469,0.23444700707433547,0.0015502304226378736,0.2983225395806908,0.002789935237484145,,,,
kde_samples,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,0.0048691932846735494,50.605160156163976,16.98323961520854,4.209909406193292e-08,4.737531532094453e-09,0.736248491267355,0.688998793013884,0.6408434330804982,0.6126747464643986,0.4645804142829517,4.252062899980662e-06,0.29221037204621975,2.4610518602310987,0.27693783061285293,0.0016862010579611294,0.34641568642223663,0.00307849411853342,,,,
kde_samples,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,0.008020300848934146,57.98886968715951,24.36694914620407,2.6155826325402207e-11,2.9433899879718646e-12,0.6932043285457444,0.6545634628365955,0.6851685948170051,0.6481348758536041,0.4559679813359362,4.191775869351553e-06,0.2817973223342707,2.408986611671353,0.3173397413261634,0.001815487172243723,0.24736486984163628,0.0024841892190498177,,,,
kde_samples,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,0.004238875830370026,49.12819343891202,15.506272897956585,1.8437891098475701e-07,2.0748686500438605e-08,0.7360226631550926,0.688818130524074,0.6417244707744774,0.6133795766195819,0.5276721955262528,4.6937053686837695e-06,0.23677237941285997,2.1838618970642996,0.26547011800168696,0.0016495043776053983,0.29046346274108653,0.0027427807764465193,,,,
kde_samples,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,0.0016111015252580976,42.97076409501309,9.348843554057652,8.706604807521267e-05,9.79779155162735e-06,0.7236038031429526,0.678883042514362,0.6519262327103542,0.6215409861682833,0.5328621980821898,4.730035386575328e-06,0.3078858282008957,2.5394291410044785,0.22656991069215726,0.0015250237142149033,0.27174766249477317,0.002630485974968639,,,,
kde_samples,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,0.006540878641736039,54.52227147402668,20.900350933071245,8.377084957431096e-10,9.426973434269139e-11,0.7169287974366485,0.6735430379493188,0.681534988016258,0.6452279904130064,0.5305252223168685,4.713676556218079e-06,0.27667409580808594,2.3833704790404298,0.3128770798687677,0.001801206655580057,0.2688490178015564,0.0026130941068093386,,,,
kde_samples,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,0.0013704438762817475,42.406852473395496,8.78493193244006,0.00015302152924675367,1.7219950596308014e-05,0.6616705076147997,0.6293364060918398,0.7254209780839012,0.6803367824671209,0.5468266646096329,4.82778665226743e-06,0.302612504677793,2.5130625233889647,0.2773157209959942,0.0016874103071871816,0.279303642382436,0.002675821854294616,,,,
kde_samples,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,0.002562374683368944,45.19979770966579,11.577877168710351,9.371127213240229e-06,1.0545597631787998e-06,0.730544111640972,0.6844352893127776,0.6615118942341471,0.6292095153873177,0.5392631128913883,4.774841790239718e-06,0.27643547747305,2.3821773873652496,0.27155487113344545,0.0016689755876270257,0.31553928216627636,0.0028932356929976585,,,,
kde_samples,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,0.009062441368850788,60.43082469270078,26.808904151745345,2.2753114956233817e-12,2.560473139872084e-13,0.727132927554257,0.6817063420434055,0.6559067715348652,0.6247254172278922,0.5386345387010206,4.770441770907144e-06,0.25617596969143913,2.2808798484571957,0.30651657655795644,0.0017808530449854609,0.3332567784303598,0.0029995406705821586,,,,
kde_samples,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,0.001669478168091744,43.107552879682665,9.485632338727228,7.593503857915198e-05,8.545187198810332e-06,0.6707636942389973,0.6366109553911978,0.6744479187724535,0.6395583350179628,0.5053617011404987,4.537531907983491e-06,0.247130526935488,2.2356526346774404,0.23135673853458688,0.0015403415633106782,0.2594643599138612,0.0025567861594831673,,,,
kde_samples,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,0.002700315719615917,45.52302264670191,11.901102105746475,6.782925185644505e-06,7.633019822126087e-07,0.7032501016974825,0.662600081357986,0.6657527166659027,0.6326021733327222,0.45738557322138723,4.20169901254971e-06,0.32172712592121816,2.608635629606091,0.2697357537733945,0.0016631544120748625,0.31723052676264624,0.0029033831605758775,,,,
