distance,observation,QMSA_MAP_simulation,selected_mean,selected_median,CI95_low,CI95_high
5.20083,1.53175,1.6657377697682079,1.795367653494161,1.793876950328103,1.6215066253008057,1.9730930756154796
5.42329,1.19534,1.6593875448539683,1.789011411886279,1.7883417351024713,1.6143544444230586,1.9675193013370464
5.62776,0.48190500000000003,1.6537544458196294,1.783368530184075,1.7829024449371382,1.6080054761040614,1.9625724664755904
6.35959,0.824193,1.6351907976935665,1.7647364883242433,1.7647746425199515,1.5870462932005804,1.9462500207031088
6.59394,0.737205,1.6297743396796123,1.7592870987197633,1.759094263139939,1.5809178019901324,1.94148019089965
8.51938,1.10279,1.5933545456980518,1.7224691827163237,1.721903046323439,1.5397396160563703,1.9091885907450217
8.54733,1.68864,1.5927980076554615,1.7219114092478014,1.7213567173490845,1.539134984516463,1.9086864165063826
9.02295,1.65968,1.582450853533608,1.7115981812921903,1.7111733434407996,1.528098896649996,1.8992962191048606
11.9002,1.97894,1.4845458462737902,1.6161116854880764,1.6156846795328612,1.4312408499722618,1.8084634859774569
14.2896,2.07195,1.3809761869516397,1.515789122653676,1.5162968277559974,1.3290084200581302,1.7092049804270175
14.8798,1.94439,1.3569282762777102,1.4923945109776018,1.4928068905198701,1.3051283943801462,1.685371897601128
16.4373,2.09533,1.2963612172427066,1.4332744855265802,1.433791697987825,1.2455973931283941,1.62380101917865
17.5999,1.46898,1.2533902909714534,1.3912015309070158,1.3901703103849752,1.2032620512965695,1.579120792440519
18.0567,1.04558,1.2369771662193156,1.3751071554752956,1.3750773165835413,1.186991591001378,1.5618677504191583
19.4885,1.0631,1.1872522260170761,1.3262567478921923,1.3271802874892418,1.1370150508961017,1.508894904981929
19.4894,1.0805,1.187221790388354,1.3262268025813446,1.3271502846719088,1.1369821844138401,1.5088621344056699
21.6334,1.02847,1.1174220264336079,1.2573495885171921,1.2582533422465507,1.0607767663192793,1.4420269892186195
21.9745,0.680475,1.1067896818134944,1.2468147976778186,1.2477569319716662,1.0488865349131384,1.432692175531552
24.7375,1.10414,1.0250245105394364,1.1654072589240505,1.1666460151401836,0.9543273782821056,1.3619872114065383
25.3172,0.756158,1.0081776513788168,1.1486617453471553,1.149602996482917,0.9341702241038734,1.3477364676034662
25.4273,0.564752,1.0049661420703397,1.145474901556749,1.1463367750369933,0.9303041428612158,1.3450341809369235
